Data;monit_pib_fgv;monit_pibagro_fgv;monit_pibind_fgv;monit_pibserv_fgv;;monit_pib_fgv;monit_pibagro_fgv;monit_pibind_fgv;monit_pibserv_fgv;;;monit_pib_fgv;monit_pibagro_fgv;monit_pibind_fgv;monit_pibserv_fgv;;;monit_pib_fgv;monit_pibagro_fgv;monit_pibind_fgv;monit_pibserv_fgv;;100;100;100;100
set/06;135,592;128,295;127,234;139,1;;0,999768665;0,997754072;0,999763723;1,000004459;;set/06;0,0215;-0,1575;0,0618;0,0279;;mar/22;0,054043031;1,137410927;0,074975934;-0,033813707;;178,8368805;121,388827;165,7437877;162,4285117
out/06;137,043;108,347;133,999;139,224;;1,000107012;0,998445146;1,000531698;1,000008914;;out/06;0,0098;-0,5656;0,0848;0,0278;;jun/22;-0,040250535;-0,485046259;0,010265758;0,0150891;;171,6386004;62,50963056;167,4452733;164,8794118
nov/06;137,354;110,774;131,667;140,593;;1,000022694;1,000224003;0,999825969;1,000098331;;nov/06;-0,0102;-0,3574;0,0121;0,0112;;set/22;0,023777501;-0,136756813;0,040090759;0,032816909;;175,7197373;53,96101272;174,1582813;170,2902444
dez/06;134,719;129,405;120,542;141,57;;0,99980816;1,001681893;0,999155065;1,000069491;;dez/06;-0,0062;0,0348;-0,0488;0,0177;;dez/22;-0,016383676;-0,055069702;-0,08513928;0,015389649;;172,840802;50,98939581;159,3305706;172,9109515
jan/07;132,566;133,181;117,941;137,857;;0,999840186;1,000291797;0,999784225;0,999737727;;jan/07;-0,0329;0,2199;-0,1234;-0,0094;;mar/23;0,09745605;1,529347057;0,064491038;-0,012822548;;189,6851839;128,9698782;169,6059645;170,6937925
fev/07;130,36;176,965;110,937;135,219;;0,999833592;1,003287556;0,999406144;0,999808642;;fev/07;-0,0518;0,5268;-0,1654;-0,0384;;jun/23;-0,05605988;-0,543631783;0,01755597;0,005031959;;179,0514552;58,85775335;172,5835617;171,5527168
mar/07;141,582;223,064;125,541;141,033;;1,000860847;1,002604978;1,001316423;1,000429969;;mar/07;0,0534;0,6195;0,0506;-0,0024;;set/23;0,001918649;-0,254194309;0,034574729;0,017282902;;179,3949921;43,8964474;178,5505916;174,5176456
abr/07;137,864;194,925;122,37;139,81;;0,999737396;0,998738523;0,999747413;0,999913283;;abr/07;0,0432;0,4632;0,0469;0,0152;;dez/23;-0,010731287;-0,06903535;-0,070834572;0,019594213;;177,469853;40,86604078;165,9030368;177,9371816
mai/07;142,6;158,787;133,387;143,437;;1,000343527;0,998146056;1,000900302;1,000259424;;mai/07;0,0942;-0,0516;0,1965;0,0603;;mar/24;0,065950524;1,356045892;0,023829777;-0,02196574;;189,1740827;96,28226752;169,8564692;174,0286597
jun/07;141,851;162,269;131,464;143,504;;0,999947475;1,000219287;0,999855833;1,000004671;;jun/07;0,0028;-0,2894;0,0503;0,0177;;jun/24;-0,02133253;-0,498142421;0,048336381;0,01880789;;185,138521;48,31998566;178,0667161;177,3017716
jul/07;144,618;216,108;134,27;143,56;;1,000195064;1,003317886;1,000213442;1,000003902;;jul/07;0,0486;0,1677;0,0970;0,0268;;set/24;0,012665115;-0,233925827;0,036401795;0,026576557;;187,4833216;37,01669304;184,5486642;182,0138422
